French | English
"démontrer | show, showed, (to) prove"
"révéler | shown, reveal, revealing"
"élémentaire | elementary, basic"
raisonnement | reasoning
"mobile | traveling, motive"
interrogatoire | interrogation
"soupçon | suggestion, suspicion"
hypothèse | hypothesis
soupçonner | suspect
meurtre | murder
"émettre | offers, offered, gave"
"déduire | taken, deduce"
"empreinte | footprint, printed"
"énigme | puzzle, mystery, conundrum"
enquêter | investigating
discret | discreet
mystérieux | mysterious
dorénavant | from this point forward
de rencontre | dating
en rester là | call it quits
"résister à | bears, born, boring"
"soupirer | sigh, sighing"
"charme | romance, (he/she/it) charms/is charming, spell"
se prendre un râteau | get shot down
prétentieux | pretentious
"larguer | dropped, drops"
en cachette | on the sly
comme si de rien n'était | as if nothing happened
aurais entendu | should've heard
on aurait dit | you might say
horrifié | horrified
se tenir | behave
nouille | noodle
culot | nerve
"transpirer | sweat, sweating"
"ou bien | or even, either"
censé | supposed
générationnel | generational
"se brouiller | fall, fallen, bicker"
s'abstenir | refrain
malgré tout | despite everything
constamment | constantly
il n'empêche que | the fact remains that
"jugement | verdict, decision, judgment"
décidément | definitely
propos | remarks
imposer | impose
je ne comprends pas que | I don't understand why
en partie | partly
à la limite | at the very least
je comprends que | I understand why
je te le concède | I'll grant you that
"repas de famille | family dinners, family dinner"
en ce qui concerne | as far as X is concerned
"délicat | lit, kind, fine"
"tendu | laid, testing, tested"
discuter de | discuss
"résumer | sum, summarize"
fidélité | loyalty
clientèle | customers
geste commercial | goodwill gesture
"ainsi | in this way, like that, so"
"valable | just, valid"
dentelle | lace
"veiller | ensure, to ensure"
désagrément | inconvenience
regrettable | regrettable
"mécontent | angry, unhappy"
bien entendu | of course
arrangement | arrangement
jusqu'à ce que | until
ticket de caisse | receipt
troué | with holes
foulard | scarf
hors de | out of
de leçon | as a lesson
négliger | neglect
ongles | nails
s'évanouir | faint
chignon | hair bun
outré | outraged
"teindre | color, colored, dyeing"
"affreux | terrible, horrible, hideous"
indigné | appalled
"scandaleux | outrageous, scandalous"
non mais je rêve | am I imagining things
insatisfait | dissatisfied
"ouverture | opening bid, opening, opening-up"
que puis-je faire pour vous | what can I do for you
"maquiller | made, make, makes"
"satisfaire | (to) satisfy, (to) please, (to) meet"
esthéticienne | esthetician
"autrement | in a different way, differently, otherwise"
à l'inverse | unlike
contre toute attente | against all odds
verdict | verdict
contraste | contrast
amertume | bitterness
crémeux | creamy
"assaisonné | dressed, seasoned"
savoureux | tasty
"contrairement | contrary, opposed"
n'importe lequel | any one
gratin | gratin
terroir | local
cuisson | cooking
au fur et à mesure | bit by bit
"émincer | thinly slice, chop, thinly slicing"
de même que | just like
opposer | putting
gastronomique | gourmet
adversaire | opponent
se rendre | to head off
bien-être | well-being
se tourner | turn
se soucier | worry
"à distance | remotely, remote"
en freelance | as a freelancer
privilégier | prioritize
"tendre | to tend, tense, softer"
"de plus en plus | more and more, ever, more"
au fil du temps | over time
évolution | development
réforme | reform
auparavant | in the past
décisif | decisive
immortel | immortal
prometteur | promising
"crever | die, died"
septième art | cinema
muet | silent
révolutionner | revolutionize
"lancer | began, to throw, to launch"
"marquant | scoring, memorable"
retracer | recount
"projection | show, screening, shown"
"remporter | take, (to) win, obtained"
cinéaste | filmmaker
"nommé | created, called, nominated"
grand écran | silver screen
"déroule | (I) unroll/am unrolling, (he/she/it) unrolls/is unrolling, (you) unroll!"
amateur | lover
cinéphile | movie lover
contexte | context
"parier | putting, laid"
choré | choreography
déchaîné | wild
karaoké | karaoke
"micro | microphone, mic"
"se cotiser | chip in, chipping in"
radin | stingy
carte cadeau | gift card
"cagnotte | pool, money pool"
"la meilleure | the best, the best part"
pot de départ | farewell party
tant pis | too bad
se rattraper | make up for it
"tu parles | Yeah, right"
nickel | spick and span
"nier | getting, get, got"
"justifier | explain, excuses, justify"
coloc | roomie
c'est n'importe quoi | what a mess
"abuser | taken, take things too far"
s'expliquer | talk things over
appart | apartment
envisageable | possible
"accorder | tune, offered, gave"
pour l'instant | for now
voiture de fonction | company car
"accord | consent, understanding, agreement"
"ainsi que | and also, as well as, along with"
prime | bonus
"à condition que | provided, on condition that"
"investissement | investing, investment"
"collaborer | collaborate, cooperate"
audace | boldness
remplaçable | replaceable
"dépasser | exceed, outdo, go"
rémunération | pay
lors de | during
"négocier | negociate, negotiating, negotiate"
